case,method,true_positive,false_positive,precision,sensitivity,f1,balanced_accuracy,inv_fpr,ldist
LS,PUNIF,0.88136486486486498,3.1700268817204301E-2,0.99418613942398304,0.88135295468980102,0.93437550221473697,0.92483229802383005,0.968299731182796,4.2967696218930698
LS,AK1,0.86909504107151203,6.1333333333333302E-2,0.98867025940548203,0.86908329670263795,0.92502776331217196,0.90388085386908901,0.93866666666666698,3.7057646033615699
LS,CALI05,0.826211212259225,2.3810226936903101E-2,0.99533225217031096,0.82620004739371999,0.90291405111227097,0.90120049266116098,0.97618977306309695,3.9771952199954801
LS,SKEW1,0.42441245689333401,4.3704610524692301E-2,0.98354454144659698,0.42440672166736598,0.59295080076275697,0.69035392318432098,0.95629538947530801,1.5786421419919101
LM,PSM3,0.99950000000000006,8.7249999999999994E-2,0.98823106639115998,0.99998863649276704,0.99407508655795396,0.956125,0.91274999999999995,5.0448058929510697
LM,PSST,0.99950000000000006,0.115916666666667,0.98442813674601803,0.99998863649276704,0.99214737898338201,0.94179166666666703,0.884083333333333,4.9108148026948601
LM,TESS,0.99997727272727299,1.0833333333333301E-2,0.99851354264770997,0.999965909478301,0.99923919831941799,0.99457196969697004,0.98916666666666697,6.7066310785478001
LM,TES,0.99984090909090895,0.39291666666666702,0.94912731116912297,0.99982954739150698,0.97381891833560597,0.80346212121212102,0.60708333333333298,3.7821144897501999
LM,SKEW2,0.99975000000000003,0.14133333333333301,0.98107610816838597,0.99973863933364404,0.99031945788963704,0.92920833333333297,0.85866666666666702,4.7983762501193201
LM,EGGER2,0.99964772727272699,0.15708333333333299,0.97901062823437801,0.99963636776854803,0.98921599496221202,0.92128219696969704,0.84291666666666698,4.7019764394791901
LM,EGGER4,0.99879545454545504,0.173666666666667,0.976827926516187,0.99878410472608303,0.98768400943925805,0.91256439393939404,0.82633333333333303,4.4997948907729803
LM,BEGG,0.99844318181818204,0.11975,0.98389715680675505,0.99843183600186403,0.99111121137944902,0.93934659090909101,0.88024999999999998,4.8679635038621401
LM,CALI20,0.99838636363636402,2.80833333333333E-2,0.99616762664973502,0.99837501846569898,0.997270101080036,0.985151515151515,0.97191666666666698,6.2298485956929301
LM,CALI15,0.994022727272727,2.2333333333333299E-2,0.99693422837149404,0.99401143168827599,0.99547068463218702,0.98584469696969701,0.97766666666666702,5.8734118831216202
LM,EGGER1,0.98942045454545502,0.44391666666666701,0.94233579012305602,0.98940921125896297,0.96529895009921995,0.77275189393939403,0.55608333333333304,3.4218618976929398
LM,EGGER5,0.98561363636363597,0.11033333333333301,0.98495326996672705,0.98560243633595102,0.98527774622287401,0.93764015151515201,0.88966666666666705,4.3956742922972101
LM,EGGER3,0.97986363636363605,0.24816666666666701,0.96660575963769702,0.97985250167611704,0.97318405489593696,0.86584848484848498,0.75183333333333302,3.6887622336935402
LM,EK,0.97986363636363605,0.24816666666666701,0.96660575963769702,0.97985250167611704,0.97318405489593696,0.86584848484848498,0.75183333333333302,3.6887622336935402
LM,CALI10,0.97632954545454498,2.30833333333334E-2,0.99677475491617795,0.976318450926694,0.98644056120691104,0.97662310606060598,0.97691666666666699,5.3277401472766099
LM,CALI05,0.88443578809614398,2.4335463853771801E-2,0.99624919473140805,0.88442573780366895,0.93701299873118604,0.93005016212118596,0.97566453614622795,4.4785351820387902
LM,SKEW1,0.76053143790994504,4.5333333333333399E-2,0.99192254734121099,0.760522795605449,0.86094520638179295,0.85759905228830602,0.954666666666667,2.82940145700843
LM,PUNIF,0.74248863636363605,1.08333333333333E-3,0.99978577877067598,0.74248019908864704,0.85213297338184402,0.87070265151515103,0.99891666666666701,5.22584194001164
LM,AK1,0.46190587473063599,5.0000000000000001E-4,0.99997539897752297,0.461900625859888,0.63191304157762196,0.73070293736531799,0.99950000000000006,3.5087775053536099
LL,PSM3,0.99950000000000006,0.108875,0.98972570459044196,0.99998809537981703,0.99483043470536503,0.9453125,0.89112499999999994,4.9409238390843102
LL,PSM4,0.99950000000000006,0.103875,0.99019238023387401,0.99998809537981703,0.99506613043657999,0.94781249999999995,0.89612499999999995,4.9812219440747398
LL,PSST,0.99982142857142897,0.267125,0.97517504034926805,0.99980952607707096,0.98733864710445995,0.86634821428571396,0.73287500000000005,4.3199333995025198
LL,EGGER2,0.99903571428571403,0.30062499999999998,0.972128583840139,0.999023821144986,0.98539271749468105,0.84920535714285705,0.69937499999999997,4.3202804800365397
LL,SKEW2,0.99878571428571405,0.29825000000000002,0.97233586370748104,0.99877382412114102,0.98537754131284505,0.85026785714285702,0.70174999999999998,4.3294262634091796
LL,TES,0.99865476190476199,0.65462500000000001,0.94122861150070103,0.99864287329912704,0.96908609914166099,0.67201488095238104,0.34537499999999999,2.5917912707189501
LL,EGGER4,0.99786904761904804,0.1225,0.98843187660668397,0.99785716836704297,0.99312216015117705,0.93768452380952405,0.87749999999999995,4.6325906816208802
LL,CALI20,0.99661904761904796,1.95E-2,0.99812812228011405,0.99660718324781805,0.99736707292373505,0.98855952380952405,0.98050000000000004,6.2229837141821802
LL,TESS,0.99582142857142897,4.5624999999999999E-2,0.99564363506516695,0.99580957369555101,0.99572659746690295,0.97509821428571397,0.95437499999999997,5.7559945926526801
LL,CALI15,0.99551190476190499,1.7874999999999999E-2,0.99828094595723804,0.99550005357079097,0.99688856039291895,0.98881845238095201,0.98212500000000003,5.77551695231063
LL,CALI10,0.983261904761905,2.3625E-2,0.99770487050637802,0.983250199402388,0.99042479839313602,0.979818452380952,0.97637499999999999,5.2249168192533899
LL,EGGER1,0.97704761904761905,0.68762500000000004,0.93717313357845899,0.97703598766681399,0.95668949439020301,0.64471130952380995,0.31237500000000001,2.5892386550133
LL,BEGG,0.95372619047619001,0.152,0.98503627197835997,0.95371483672813395,0.96912254810047205,0.90086309523809505,0.84799999999999998,4.4163533283447496
LL,EGGER5,0.94102380952380904,0.14399999999999999,0.98562326213543805,0.941012606992774,0.96280146163215097,0.89851190476190501,0.85599999999999998,3.6659165863029699
LL,EGGER3,0.93457142857142905,0.33750000000000002,0.96673850132381001,0.93456030285353697,0.95037710494775696,0.79853571428571402,0.66249999999999998,2.8956169654881601
LL,EK,0.93457142857142905,0.33750000000000002,0.96673850132381001,0.93456030285353697,0.95037710494775696,0.79853571428571402,0.66249999999999998,2.8956169654881601
LL,CALI05,0.89443777110443801,2.8875000000000001E-2,0.99692163869850103,0.89442712316249495,0.942897229004102,0.93278138555221901,0.97112500000000002,4.3678760474179201
LL,SKEW1,0.82673809523809505,4.5874999999999999E-2,0.99472885094680197,0.82672825323508103,0.90298085362285396,0.89043154761904797,0.954125,3.50387839857832
LL,PUNIF,0.28530952380952401,5.0000000000000001E-4,0.99995827596278197,0.28530612730800797,0.44394635447539699,0.64240476190476203,0.99950000000000006,2.3310430630097301
LL,AK1,4.82857142857143E-2,5.0000000000000001E-4,0.99975351244762101,4.8285139462625401E-2,9.2121102000952998E-2,0.52389285714285705,0.99950000000000006,0.41320591816442098
